개방자치단체코드,관리번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202030000001000001,착한붕어 낚시카페,기타,"서울특별시 종로구 대학로8가길 52, 지하1층 (동숭동)",서울특별시 종로구 동숭동 1-48 지하1층,37.582964,127.002648,02-741-1733,48.3,붕어,20,없음,"1시간(성인:10천원, 초,중,고 학생:9천원)",,명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,02-2148-2276,종로구청,2020-07-09,I,2026-05-15 18:45:51,2020-07-09 20:08:55
3000000,202130000001000001,가자실내낚시카페 대학로점,기타,"서울특별시 종로구 대학로12길 61, 계우빌딩 (동숭동)",서울특별시 종로구 동숭동 1-88 계우빌딩,37.5795,126.9998,02-765-2733,209.34,붕어,30,실내낚시터,"1시간 10,000원",,"소화기, 방송통신시설","방송시설, 화장실 등",,,종로구청,2025-10-22,I,2026-05-15 18:45:51,2025-10-22 09:22:47
3110000,202131100001000002,입큰붕어낚시카페,기타,"서울특별시 은평구 은평로 101, 지하1층 (응암동)",서울특별시 은평구 응암동 90-14,,,,185,-,30,-,"10,000원/시간",,-,-,,,구본진,2021-06-30,I,2026-05-15 18:45:51,2022-01-19 14:08:08
3110000,202131100001000001,잉어킹낚시카페,기타,"서울특별시 은평구 연서로26길 8, 지하1층 (대조동)",서울특별시 은평구 대조동 200-2,,,,63,민물고기,24,-,"10,000원/시간",,구급함 구비,음료 자판대,,,엄기숙,2021-06-30,I,2026-05-15 18:45:51,2022-01-19 14:06:01
3140000,202531400001000001,보드타는물고기,기타,"서울특별시 양천구 지양로 34, 지하1층층 (신월동)",서울특별시 양천구 신월동 991-12,,,02-2691-2733,30,붕어,20,좌대,"10,000원(시간당)",,"구명부환, 소화기, 구급약품, 전기설비(방송)",쓰레기통 화장실,,,서울특별시 양천구,2026-05-14,U,2026-05-15 03:03:03,2026-05-14 08:55:48
3280000,202032800001000001,동삼어촌계 유어장 낚시터,바다,부산광역시 영도구 하리해안길 17-5,부산광역시 영도구 동삼동 1181,35.06978643,129.0812768,051-404-0798,164000,"도다리, 볼락류 등 기타해면어류",144,바지형 해상낚시터4동,"성인 25,000원, 어린이 15,000원  *낚시대 대어료 :5,000원",낚시터 주변 해역,"구명부환, 구명조끼, 소화기, 구급약품 등","화장실, 통신장치 등","태종대, 흰여울문화마을 등",051-419-4501,부산광역시 영도구청,2026-05-14,U,2026-05-15 03:03:03,2026-05-14 09:11:39
3320000,202233200001000001,부산실내바다낚시터,기타,"부산광역시 북구 효열로 275, 지하1층 (금곡동)",부산광역시 북구 금곡동 55-2 지하1층,35.26720059,129.0183491,051-362-3338,62.5,"바다랍스터,능성어,돌돔,참돔 등",24,고정형,"30,000원",,"구명부환,소화기,구급약품","화장실, 세면소, 쓰레기통",없음,051-309-4474,부산광역시 북구,2025-10-01,I,2026-05-15 18:45:51,2025-10-27 16:27:48
3360000,202033600001000001,제일낚시터,평지,부산광역시 강서구 낙동북로73번가길 200-5 (강동동),부산광역시 강서구 강동동 10-2,35.22365536,128.940412,051-972-6782,2120,"붕어, 잉어",30,해당없음,"15,000원",,"구명조끼, 구명부환, 소화기 등","관리실, 방송실, 화장실, 세면소 등",김해왕릉,051-970-4502,부산광역시 강서구청,2026-05-08,I,2026-05-15 18:45:51,2026-05-08 13:47:43
3360000,202033600001000002,천성낚시터,바다,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,35.02053193,128.80943772,051-972-3727,1364,해면어류,35,수상방갈로,문의,,"구명조끼, 구명부환, 소화기 등","관리실, 방송실, 화장실, 세면소 등",연대봉,051-970-4502,부산광역시 강서구청,2026-05-08,I,2026-05-15 18:45:51,2026-05-08 13:46:21
3400000,202134000001000003,이오피쉬,기타,"부산광역시 기장군 기장읍 대변로 153, 이오피쉬",부산광역시 기장군 기장읍 대변리 418-3,35.2257,129.2288,,254,"우럭, 참돔 등",50,없음,"70,000원",,"구명조끼,소화기 등","화장실, 쓰레기통",,,기장군청 해양수산과,2023-05-02,I,2026-05-15 18:45:51,2023-05-02 15:40:59
3400000,202134000001000001,대원관광농원,저수지,"부산광역시 기장군 기장읍 내리길 57, 대원관광농원",부산광역시 기장군 기장읍 내리 701-27 대원관광농원,35.211047,129.2039,051-721-5862,1599,"잉어,붕어",50,없음,"10,000원",,"구명조끼, 소화기 등","화장실, 쓰레기통",,,기장군청 해양수산과,2023-05-02,I,2026-05-15 18:45:51,2023-05-02 15:41:15
3400000,202134000001000002,용소사계절,저수지,"부산광역시 기장군 장안읍 기장대로 1665-73, 용소사계절",부산광역시 기장군 장안읍 용소리 170-4,35.34273,129.24519,,276,붕어,50,없음,"10,000원",,"구명조끼,소화기 등","화장실, 쓰레기통",,,기장군청 해양수산과,2023-05-02,I,2026-05-15 18:45:51,2023-05-02 15:41:07
3450000,202234500001000004,낭만물고기실내바다낚시터,기타,대구광역시 북구 칠곡중앙대로 447(관음동),대구광역시 북구 관음동 1402-2,35.5609,128.3255,,0.02,"우럭,장어,강도다리,줄돔",30,해당없음,"35,000원",,구명부환2개+구명줄2+소화기2+구급약세트3개,화장실1+세면장1,,,낭만물고기실내바다낚시터,2026-08-14,U,2026-08-15 22:28:25,2026-08-14 13:38:42
3450000,202234500001000002,동화낚시터,기타,대구광역시 북구 동변로 24길 106(동변동),대구광역시 북구 동변동 132,35.92974,128.603563,053-955-8527,0.18,잉어+향어,20,해당없음,"15,000원",,구명부환3개+구명줄3+소화기3+구급약세트1개,화장실2+세면장1,,,동화낚시터,2026-08-14,U,2026-08-15 22:28:25,2026-08-14 13:39:27
3450000,202234500001000001,눈큰실내낚시터,기타,대구광역시 북구 태전로 57 (태전동),대구광역시 북구 태전동 254-32,35.9254,128.54324,,40,붕어 등,20,해당없음,"1시간 10,000원 2시간 15,000원",,구명중 구명튜브,화장실 흡연실 창고,,,눈큰실내낚시터,2026-08-14,U,2026-08-15 22:28:25,2026-08-14 13:39:36
3450000,202234500001000003,무태낚시터,기타,,"대구광역시 북구 연경동 570-14, 570-35",35.935017,128.608374,053-951-1177,0.14,잉어+향어,23,해당없음,"15,000원",,구명부환2개+구명줄2+소화기3+구급약세트1개,화장실2+세면장1,,,무태낚시터,2026-08-14,U,2026-08-15 22:28:25,2026-08-14 13:39:04
3480000,202534800001000004,도채낚시터,저수지,대구광역시 달성군 하빈면 묘동3길 122-60,대구광역시 달성군 하빈면 묘리 585-3,35.91802965,128.4215712,,13256,붕어+잉어,40,없음,"15,000",,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2192,대구광역시 달성군청,2025-10-17,I,2026-05-15 18:45:51,2025-10-20 13:30:44
3480000,202534800001000002,남동지낚시터,저수지,,대구광역시 달성군 논공읍 남리 926,35.7210637,128.4502054,,2343,붕어+잉어,99,고정형,"15,000",,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2192,대구광역시 달성군청,2025-10-17,I,2026-05-15 18:45:51,2025-10-20 13:30:44
