조위관측소 고유번호,관측소 유형,조위관측소 명,조위관측소 위도,조위관측소 경도,조위관측소 영문명
IE_0060,종합해양과학기지,이어도,32.12277778,125.1822222,Ieodo
IE_0062,종합해양과학기지,옹진소청초,37.423056,124.738056,Socheongcho
IE_0061,종합해양과학기지,신안가거초,33.941944,124.592778,Gageocho
DT_0002,조위관측소,평택,36.966944,126.822778,Pyeongtaek
DT_0003,조위관측소,영광,35.426111,126.420556,Yeonggwang
DT_0004,조위관측소,제주,33.5275,126.543056,Jeju
DT_0005,조위관측소,부산,35.096389,129.035278,Busan
DT_0006,조위관측소,묵호,37.550278,129.116389,Mukho
DT_0007,조위관측소,목포,34.779722,126.375556,Mokpo
DT_0008,조위관측소,안산,37.192222,126.647222,Ansan
DT_0010,조위관측소,서귀포,33.24,126.561667,Seogwipo
DT_0011,조위관측소,후포,36.6775,129.453056,Hupo
DT_0012,조위관측소,속초,38.207222,128.594167,Sokcho
DT_0013,조위관측소,울릉도,37.491389,130.913611,Ulleungdo
DT_0016,조위관측소,여수,34.747222,127.765556,Yeosu
DT_0017,조위관측소,대산,37.0075,126.352778,Daesan
DT_0018,조위관측소,군산,35.975556,126.563056,Gunsan
DT_0021,조위관측소,추자도,33.961944,126.300278,Chujado
DT_0023,조위관측소,모슬포,33.214444,126.251111,Moseulpo
DT_0028,조위관측소,진도,34.377778,126.308611,Jindo
DT_0030,조위관측소,위도(구),35.618056,126.301667,Wido
DT_0032,조위관측소,강화대교,37.731944,126.522222,Ganghwa(Bridge)
DT_0019,조위관측소,가덕도(구),35.024167,128.810833,Gadeokdo
DT_0020,조위관측소,울산,35.501944,129.387222,Ulsan
DT_0022,조위관측소,성산포,33.474722,126.927778,Seongsanpo
DT_0024,조위관측소,장항,36.006944,126.6875,Janghang
DT_0026,조위관측소,고흥발포,34.481111,127.342778,Goheung(Balpo)
DT_0027,조위관측소,완도,34.315556,126.759722,Wando
DT_0029,조위관측소,거제도,34.801389,128.699167,Geojedo
DT_0031,조위관측소,거문도,34.028333,127.308889,Geomundo
DT_0035,조위관측소,흑산도,34.684167,125.435556,Heuksando
DT_0044,조위관측소,영종대교,37.545556,126.584444,Yeongjong(Bridge)
DT_0050,조위관측소,태안,36.91305556,126.2388889,Taean
DT_0051,조위관측소,서천마량,36.12888889,126.4952778,Seocheon(Maryang)
DT_0049,조위관측소,광양,34.903672,127.754836,Gwangyang
DT_0056,조위관측소,부산항신항,35.0775,128.786944,Busan(New Port)
DT_0057,조위관측소,동해항,37.494722,129.143889,Donghae(Port)
DT_0055,조위관측소,순천만,34.88411111,127.5125556,Sooncheon(Bay)
DT_0058,조위관측소,경인항,37.560833,126.601111,Gyeongin(Port)
DT_0038,조위관측소,굴업도,37.194444,125.995,Gureopdo
DT_0025,조위관측소,보령,36.406389,126.486111,Boryeong
DT_0034,조위관측소,안흥(구),36.673611,126.132222,Anheung
DT_0001,조위관측소,인천,37.451944,126.592222,Incheon
DT_0052,조위관측소,인천송도,37.33805556,126.5861111,Incheon Songdo
DT_0014,조위관측소,통영,34.827778,128.434722,Tongyeong
DT_0037,조위관측소,어청도,36.117222,125.984722,Eocheongdo
DT_0009,조위관측소,포항(과거),36.04722222,129.3838889,Pohang
DT_0043,조위관측소,영흥도,37.23861111,126.4286111,Yeongheungdo
DT_0061,조위관측소,삼천포,34.924167,128.069722,Samcheonpo
DT_0901,조위관측소,포항_구,36.051581,129.374499,Pohang
DT_0068,조위관측소,위도,35.61808444,126.3018158,Wido
DT_0065,조위관측소,덕적도,37.226333,126.156556,Deokjeokdo
DT_0066,조위관측소,향화도,35.167667,126.359556,Hyanghwado
DT_0067,조위관측소,안흥,36.67463889,126.1295556,Anheung
DT_0091,조위관측소,포항,36.047128,129.383806,Pohang
DT_0063,조위관측소,가덕도,35.024178,128.810933,Gadeokdo
DT_0062,조위관측소,마산,35.1975,128.576389,Masan
DT_0092,조위관측소,여호항,34.661944,127.469167,Yeoho(Port)
DT_0094,조위관측소,서거차도,34.25142222,125.91545,Seogeochado
DT_0093,조위관측소,소무의도,37.373069,126.440066,Somuuido
